CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,Lopez,652,Germany,Male,52,1,0.0,1,1,1,157964.0488046536,0
15600001,Garcia,361,Spain,Female,31,0,0.0,1,1,0,165076.01247789172,0
15600002,Miller,667,Germany,Female,31,10,156537.37694313002,1,1,1,50850.99849657751,0
15600003,Lopez,429,France,Female,27,7,27268.97651722611,2,1,1,152116.1201833128,0
15600004,Dupont,565,France,Male,29,3,97835.45698954091,2,1,1,131961.42367870532,0
15600005,Müller,688,France,Male,55,2,0.0,1,0,0,173859.77395663157,0
15600006,Miller,613,Spain,Male,51,3,49356.370476593154,3,1,1,109258.2016930322,1
15600007,Miller,828,Germany,Female,58,10,0.0,1,1,0,29052.582507241797,0
15600008,Lopez,498,France,Male,27,4,0.0,1,1,0,113570.81704588023,0
15600009,Martin,430,Spain,Female,34,0,0.0,1,0,1,128285.85312351248,0
15600010,Dupont,564,France,Female,34,10,0.0,2,1,1,51352.96973755067,0
15600011,Lopez,834,Spain,Female,84,0,186494.41214414916,2,1,1,80028.70827960019,1
15600012,Dupont,723,France,Female,79,2,0.0,1,1,0,113753.06331852719,1
15600013,Dupont,813,Germany,Male,18,5,186118.00244341602,2,0,1,76727.44665722342,0
15600014,Müller,547,Spain,Female,29,0,31751.078881633155,1,1,0,76866.37334437955,0
15600015,Miller,549,France,Male,21,10,0.0,2,0,1,36959.295463511575,1
15600016,Garcia,374,France,Female,59,1,0.0,3,1,0,170223.2093078149,0
15600017,Müller,815,France,Male,30,6,27414.70202704247,1,1,1,138831.57344169094,0
15600018,Müller,438,France,Male,21,0,0.0,2,0,1,15205.16741290683,0
15600019,Dupont,617,France,Female,36,6,109106.84680861181,2,1,0,141326.19186365727,0
15600020,Wang,492,Germany,Female,19,3,200657.02608669488,1,1,0,137066.1737885467,0
15600021,Miller,408,Spain,Female,29,9,0.0,3,1,1,16605.608425661296,0
15600022,Martin,759,Spain,Male,23,5,70301.97532190202,1,1,1,75984.70910627116,0
15600023,Müller,838,France,Female,25,7,0.0,1,1,1,115113.36890371256,0
15600024,Garcia,714,Germany,Female,68,8,105748.69901141888,1,1,1,89703.85755657592,1
15600025,Wang,375,Spain,Male,28,5,82329.88970560953,1,1,0,143367.7095888837,1
15600026,Wang,396,France,Female,80,10,0.0,2,1,0,85200.62488468162,1
15600027,Martin,637,Spain,Male,74,8,0.0,2,1,0,40387.38995988311,1
15600028,Müller,615,Spain,Female,29,3,189126.6334963287,2,0,0,176108.5780051817,0
15600029,Garcia,365,France,Male,19,5,214299.886989172,1,1,1,54936.59880804769,0
15600030,Miller,548,France,Male,25,7,0.0,1,1,0,133419.23123931984,0
15600031,Smith,750,France,Female,28,8,160379.63132289192,1,1,1,38620.79142457187,0
15600032,Garcia,756,France,Male,70,2,92794.2294541065,2,1,1,69287.0812743489,1
15600033,Martin,631,Germany,Female,27,1,152187.2141097327,4,1,1,87934.55539101992,1
15600034,Wang,818,Germany,Female,25,5,0.0,2,1,1,46718.280746965545,0
15600035,Miller,435,Spain,Male,53,3,218692.35158126566,1,1,0,89243.33010082057,0
15600036,Garcia,599,France,Female,31,0,163069.44851605748,2,1,1,40931.865793638746,0
15600037,Smith,740,France,Male,71,7,0.0,2,0,0,107236.07893267188,0
15600038,Smith,619,Spain,Male,38,8,185343.605391049,1,1,0,124512.686665832,0
15600039,Dupont,684,Spain,Male,67,8,199609.21234430792,2,1,1,25301.65686462178,0
15600040,Dupont,466,France,Male,56,1,181028.03141508173,1,1,0,158736.79997855774,0
15600041,Lopez,356,Spain,Male,37,8,0.0,1,1,1,45548.246031935865,0
15600042,Martin,486,Germany,Male,24,6,62875.57520284572,1,0,1,52184.80017785342,0
15600043,Müller,720,France,Male,26,4,87767.23684460967,1,0,1,124122.72361370538,0
15600044,Garcia,525,France,Male,18,6,14249.608854389593,1,1,0,92343.92497167832,0
15600045,Garcia,677,Germany,Female,43,8,120038.5651675801,1,1,1,97400.27386322584,0
15600046,Müller,847,France,Female,55,7,116062.13805678583,1,1,0,36145.572452916895,0
15600047,Lopez,664,France,Male,55,5,120302.59761440252,2,1,1,147946.41060960735,1
15600048,Wang,564,France,Female,78,3,0.0,4,0,0,116813.95060719465,1
15600049,Wang,826,France,Female,61,0,201405.34072551626,2,0,1,37338.03714606025,1
15600050,Lopez,431,Germany,Female,61,5,43959.68344932268,1,1,0,76709.89555922334,0
15600051,Wang,572,Spain,Female,79,2,0.0,1,1,0,148717.63890127998,1
15600052,Dupont,827,France,Female,23,5,99030.797687285,1,1,0,108778.5825877924,0
15600053,Garcia,721,Germany,Female,34,5,85711.91274884604,1,1,0,32927.04855693353,0
15600054,Lopez,772,Germany,Male,68,3,0.0,2,1,1,76508.21255523231,0
15600055,Garcia,832,Germany,Female,55,1,0.0,2,0,0,55044.575745196205,1
15600056,Müller,751,France,Female,41,8,0.0,2,1,0,100381.81635286486,0
15600057,Smith,792,France,Female,68,1,0.0,2,1,1,154154.58626387827,1
15600058,Dupont,839,Germany,Female,27,2,179244.9122172253,1,0,0,86984.07724272927,0
15600059,Miller,452,Germany,Male,38,9,0.0,1,1,0,86501.4350107733,1
15600060,Dupont,622,France,Male,74,0,159922.0626575632,2,1,1,164382.8988839611,0
15600061,Lopez,363,France,Male,56,6,101441.58706942746,1,1,0,110070.59306369994,0
15600062,Miller,508,France,Male,50,0,0.0,1,1,0,108421.52942057213,0
15600063,Smith,501,Germany,Female,76,10,20503.952389459133,1,1,0,58215.13215943925,1
15600064,Lopez,832,Spain,Male,35,8,112322.40767254471,1,0,0,115274.25339312584,0
15600065,Martin,457,France,Male,73,10,84641.7029521516,1,0,1,110025.2271238704,1
15600066,Garcia,537,France,Male,74,10,0.0,2,0,0,80480.49260640756,0
15600067,Smith,650,Spain,Male,65,0,0.0,2,1,1,178464.7683733648,1
15600068,Garcia,447,Germany,Female,59,4,171591.93133627326,1,0,0,160512.00921643432,0
15600069,Wang,480,France,Male,44,6,61405.79899617921,1,1,0,138681.73786267458,0
15600070,Martin,642,Germany,Female,69,2,20383.961702662924,2,0,0,103662.02208814508,0
15600071,Martin,520,Germany,Male,59,8,188238.06711869934,1,1,1,91239.86731261399,0
15600072,Smith,773,France,Female,49,7,0.0,1,0,1,45508.0702118279,0
15600073,Martin,823,Spain,Female,43,2,206793.6237235091,1,1,1,65446.683212412914,0
15600074,Miller,532,France,Male,42,4,0.0,1,0,1,142703.5319708297,0
15600075,Martin,820,Germany,Male,40,6,0.0,2,1,0,89868.57739969599,0
15600076,Garcia,713,Spain,Male,74,3,61760.361011114604,2,1,0,160574.47023396773,0
15600077,Garcia,388,Spain,Male,69,4,0.0,1,1,0,39405.337497012246,1
15600078,Lopez,364,Germany,Female,48,2,59448.9975722842,1,0,0,98877.27084225001,1
15600079,Garcia,725,France,Female,81,8,38922.94331859963,1,0,0,121749.33786351593,1
15600080,Lopez,846,Germany,Male,50,9,0.0,1,1,0,100279.99529080778,0
15600081,Garcia,353,Spain,Male,19,8,44974.57360469827,4,1,0,161722.4371115229,0
15600082,Miller,698,France,Female,35,6,121012.26588269006,2,1,0,178277.94150180806,0
15600083,Müller,819,Spain,Male,64,9,133924.4486923389,2,1,0,34112.71862632601,1
15600084,Lopez,758,Germany,Female,50,1,0.0,2,1,0,36442.55917269197,0
15600085,Dupont,746,France,Male,52,6,17363.63929393093,2,1,1,36503.47873741998,0
15600086,Wang,559,Germany,Female,68,6,17823.31492898118,2,1,0,127394.22085163704,1
15600087,Smith,510,Germany,Female,35,10,15532.939760722697,1,1,1,76491.55575681326,0
15600088,Garcia,365,France,Female,47,4,0.0,1,0,1,135996.9191088745,1
15600089,Martin,842,Germany,Female,61,8,76782.0380110026,2,1,0,81902.79302635149,1
15600090,Müller,775,France,Female,70,10,0.0,1,0,0,118555.1090197905,1
15600091,Garcia,457,France,Male,27,2,100663.89300699832,3,1,0,142026.57093701744,0
15600092,Martin,731,France,Female,69,3,0.0,2,1,1,105455.6252580619,0
15600093,Wang,799,Germany,Male,66,0,117705.34652701048,3,1,0,104018.092424251,1
15600094,Wang,660,Spain,Female,28,5,159736.60583877182,1,1,0,29558.66367212969,0
15600095,Wang,576,France,Female,83,3,0.0,2,1,0,82778.98758005674,1
15600096,Martin,519,France,Male,75,0,0.0,1,1,1,105053.2302821147,1
15600097,Garcia,383,Spain,Male,53,1,126772.04039020691,3,1,0,91226.83623495765,1
15600098,Wang,763,France,Male,50,2,78665.30088097525,1,0,1,163629.0300310902,0
15600099,Miller,600,Germany,Male,64,8,102923.17587028786,2,0,0,164577.55429971573,0
15600100,Lopez,596,Germany,Female,30,7,145858.80875083414,2,1,1,150616.36779714568,0
15600101,Martin,618,Spain,Male,57,6,0.0,1,0,1,76924.18243656479,0
15600102,Martin,490,Germany,Female,59,10,140258.551591177,1,1,0,133354.36002844316,1
15600103,Garcia,623,France,Male,36,3,124282.00044386185,3,1,1,80222.59607648561,0
15600104,Martin,765,Germany,Male,36,0,165357.23810658083,1,1,1,53377.943831000244,0
15600105,Martin,445,Spain,Female,75,7,158246.68971944018,2,1,0,71578.93618589547,1
15600106,Wang,576,Spain,Female,40,3,122179.87727981003,1,1,0,26709.164492113356,0
15600107,Garcia,728,France,Male,71,2,152569.63438053845,2,1,1,69743.28898576679,0
15600108,Wang,388,Germany,Female,82,8,0.0,2,1,1,91022.46584809331,1
15600109,Lopez,651,France,Female,29,9,100776.97043551541,1,0,1,172654.34763883695,0
15600110,Müller,849,France,Female,41,3,96680.24527724666,1,1,1,66712.74672623811,0
15600111,Lopez,378,France,Female,51,3,0.0,2,1,1,163904.8339689109,0
